Biomename,Udvardy ,Perimeter,Provname,Biome,Realm,Realmprov,Udvardy,Area,Province,latitude,longitude
Mixed island systems,1095.0,0.472,Philippines,13,4.0,426,996.0,0.007,26,11.6115937232971,124.785190582275
Mixed island systems,1358.0,0.366,Sulawesi (Celebes),13,4.0,424,1196.0,0.007,24,-1.82972252368927,123.106948852539
Mixed island systems,1357.0,0.446,Papuan,13,5.0,501,1200.0,0.007,01,-1.84648102521896,134.201148986816
Tundra communities,241.0,0.383,Higharctic Tundra,09,2.0,226,261.0,0.007,26,71.141902923584,53.5332164764404
Temperate grasslands,847.0,0.685,Grasslands,11,1.0,118,673.0,0.007,18,27.9917860031128,-96.9368286132812
Mixed island systems,1123.0,0.325,Philippines,13,4.0,426,1002.0,0.007,26,10.6699485778809,124.456787109375
Tundra communities,231.0,0.474,Higharctic Tundra,09,2.0,226,356.0,0.007,26,71.8556365966797,138.382621765137
Tropical dry forests / Woodlands,1588.0,0.467,Northern Coastal,04,6.0,603,1335.0,0.007,03,-12.0288953781128,136.214797973633
Tundra communities,1983.0,0.533,Insulantarctica,09,7.0,704,1610.0,0.007,04,-54.6876392364502,-72.0105819702148
Tundra communities,1980.0,0.34,Insulantarctica,09,7.0,704,1609.0,0.007,04,-54.4309158325195,-72.2879486083984
Tropical humid forests,939.0,0.42,Burman Rainforest,01,4.0,404,869.0,0.007,04,21.8173389434814,91.8555564880371
Sub-tropical / Temperate rain forests / Woodlands,1977.0,0.325,Chilean Nothofagus,02,8.0,811,1604.0,0.007,11,-54.2860736846924,-71.4538040161133
Sub-tropical / Temperate rain forests / Woodlands,1815.0,0.353,Valdivian Forest,02,8.0,810,1461.0,0.007,10,-44.3919658660889,-73.7188148498535
Mixed island systems,1718.0,0.381,Mascarene Islands,13,3.0,325,1151.0,0.007,25,-21.7634925842285,63.4549655914307
Mixed island systems,942.0,0.523,Bahamas-Bermudean,13,8.0,838,722.0,0.007,38,21.8159332275391,-72.239086151123
Tundra communities,137.0,0.421,Higharctic Tundra,09,2.0,226,322.0,0.007,26,76.1831436157227,95.092529296875
Mixed island systems,1208.0,0.367,Borneo,13,4.0,425,929.0,0.007,25,5.31708192825317,115.212600708008
Sub-tropical / Temperate rain forests / Woodlands,1810.0,0.445,Valdivian Forest,02,8.0,810,1457.0,0.007,10,-44.3021430969238,-73.883113861084
Tundra communities,30.0,0.598,Arctic Desert,09,2.0,225,235.0,0.007,25,81.0876045227051,58.6579818725586
Mixed island systems,1085.0,0.38,Andaman and Nicobar Islands,13,4.0,420,893.0,0.007,20,11.967821598053,93.0014877319336
Tropical humid forests,1129.0,0.415,Indochinese Rainforest,01,4.0,405,905.0,0.007,05,10.4442353248596,106.926296234131
Tropical humid forests,952.0,0.447,South Chinese Rainforest,01,4.0,406,872.0,0.007,06,21.5993213653564,111.91686630249
Mixed island systems,1212.0,0.551,Borneo,13,4.0,425,1884.0,0.007,25,4.77583146095276,119.482448577881
Sub-tropical / Temperate rain forests / Woodlands,1936.0,0.362,Chilean Nothofagus,02,8.0,811,1567.0,0.007,11,-51.9579029083252,-73.7755737304688
Tropical dry forests / Woodlands,1580.0,0.767,Northern Coastal,04,6.0,603,1329.0,0.007,03,-11.567919254303,136.331100463867
Mixed island systems,1215.0,0.499,Borneo,13,4.0,425,931.0,0.007,25,4.63853788375854,118.465950012207
Tundra communities,205.0,0.553,Greenland Tundra,09,1.0,116,131.0,0.007,16,73.1138076782227,-21.3265781402588
Sub-tropical / Temperate rain forests / Woodlands,799.0,0.354,Japanese Evergreen Forest,02,2.0,202,634.0,0.007,02,33.0867156982422,139.804595947266
Tropical humid forests,1143.0,0.61,Indochinese Rainforest,01,4.0,405,909.0,0.007,05,9.63543367385864,106.196968078613
Mixed island systems,1144.0,0.365,Philippines,13,4.0,426,1012.0,0.007,26,9.59039926528931,123.791194915771
Mixed island systems,1147.0,0.542,Micronesian,13,5.0,502,1013.0,0.007,02,9.49498319625854,138.144477844238
Tropical humid forests,1008.0,0.658,Campechean,01,8.0,801,758.0,0.007,01,17.4236030578613,-87.8589973449707
Warm deserts / semi-deserts,812.0,0.397,Sonoran,07,1.0,108,460.0,0.007,08,31.7413949966431,-114.720306396484
Mixed island systems,1225.0,0.368,Philippines,13,4.0,426,1033.0,0.007,26,3.78251051902771,126.795398712158
Sub-tropical / Temperate rain forests / Woodlands,1790.0,0.332,Valdivian Forest,02,8.0,810,1442.0,0.007,10,-42.0995769500732,-72.5586318969727
Sub-tropical / Temperate rain forests / Woodlands,1910.0,0.377,Chilean Nothofagus,02,8.0,811,1549.0,0.007,11,-51.1342391967773,-74.9374351501465
Tropical humid forests,1736.0,0.348,Serro Do Mar,01,8.0,807,1123.0,0.007,07,-25.4108991622925,-48.2911720275879
Temperate needle-leaf forests / Woodlands,407.0,0.481,West Eurasian Taiga,03,2.0,203,226.0,0.007,03,61.9705562591553,5.03585886955261
Mixed island systems,1014.0,0.323,Lesser Antillean,13,8.0,841,760.0,0.007,41,17.1456632614136,-62.5803642272949
Temperate broad-leaf forests,597.0,0.638,Atlantic,05,2.0,209,553.0,0.007,09,53.445951461792,5.8013072013855
Mixed island systems,1066.0,0.349,Philippines,13,4.0,426,991.0,0.007,26,12.5589199066162,122.287521362305
Mixed island systems,1018.0,0.359,Lesser Antillean,13,8.0,841,762.0,0.007,41,16.7419357299805,-62.1856441497803
Temperate broad-leaf forests,667.0,0.408,Atlantic,05,2.0,209,517.0,0.007,09,49.4620590209961,-2.58330416679382
Mixed mountain systems,398.0,0.394,Scottish Highlands,12,2.0,231,141.0,0.007,31,62.3366508483887,-6.43986797332764
Temperate needle-leaf forests / Woodlands,395.0,0.607,West Eurasian Taiga,03,2.0,203,223.0,0.007,03,62.4084568023682,6.1725025177002
Sub-tropical / Temperate rain forests / Woodlands,1781.0,0.371,Tasmanian,02,6.0,602,2012.0,0.007,02,-40.5430603027344,148.164100646973
Evergreen Sclerophyllous forests,753.0,0.423,Mediterranean Sclerophyll,06,2.0,217,580.0,0.007,17,37.9477138519287,23.4938869476318
Tropical humid forests,1279.0,0.42,Madeiran,01,8.0,806,1904.0,0.007,06,0.280128799378872,-50.1845970153809
Temperate broad-leaf forests,751.0,0.762,Eastern Forest,05,1.0,105,479.0,0.007,05,38.0447635650635,-75.2589073181152
Sub-tropical / Temperate rain forests / Woodlands,1943.0,0.348,Chilean Nothofagus,02,8.0,811,1575.0,0.007,11,-52.1589813232422,-73.8989105224609
Sub-tropical / Temperate rain forests / Woodlands,1912.0,0.419,Chilean Nothofagus,02,8.0,811,1552.0,0.007,11,-51.200496673584,-74.9166488647461
Tropical humid forests,1058.0,0.534,Indochinese Rainforest,01,4.0,405,882.0,0.007,05,13.088258266449,98.2848968505859
Tropical humid forests,1233.0,0.416,Colombian Coastal,01,8.0,803,798.0,0.007,03,3.13421094417572,-77.5993118286133
Mixed island systems,1270.0,0.32,Papuan,13,5.0,501,1895.0,0.007,01,0.806805431842804,127.326347351074
Temperate needle-leaf forests / Woodlands,354.0,0.784,West Eurasian Taiga,03,2.0,203,201.0,0.007,03,64.9094467163086,10.9147262573242
Mixed island systems,1533.0,0.33,Southeastern Polynesian,13,5.0,504,1076.0,0.007,04,-8.91139984130859,-139.567916870117
Tropical humid forests,1264.0,0.356,Colombian Coastal,01,8.0,803,802.0,0.007,03,1.29922449588776,-78.9466667175293
Mixed island systems,1488.0,0.398,Papuan,13,5.0,501,1285.0,0.007,01,-7.67274641990662,131.049995422363
Mixed island systems,1530.0,0.34,Papuan,13,5.0,501,1386.0,0.007,01,-8.76639175415039,158.203140258789
Temperate needle-leaf forests / Woodlands,358.0,0.402,West Eurasian Taiga,03,2.0,203,203.0,0.007,03,64.6358489990234,11.2625093460083
Mixed island systems,903.0,0.384,Bahamas-Bermudean,13,8.0,838,707.0,0.007,38,23.683798789978,-74.8668365478516
Tundra communities,49.0,0.618,Arctic Desert,09,2.0,225,155.0,0.007,25,80.4863586425781,24.1321477890015
Mixed island systems,898.0,0.405,Bahamas-Bermudean,13,8.0,838,703.0,0.007,38,24.1986274719238,-77.8857231140137
Mixed island systems,1057.0,0.403,Philippines,13,4.0,426,987.0,0.007,26,13.2512574195862,124.004608154297
Sub-tropical / Temperate rain forests / Woodlands,1779.0,0.337,Tasmanian,02,6.0,602,1646.0,0.007,02,-40.4243049621582,144.896194458008
Tropical humid forests,1249.0,0.344,Guyanan,01,8.0,804,806.0,0.007,04,2.16793632507324,-50.4648685455322
Sub-tropical / Temperate rain forests / Woodlands,1794.0,0.353,Valdivian Forest,02,8.0,810,1445.0,0.007,10,-42.6026706695557,-73.6687469482422
Mixed island systems,1045.0,0.401,Micronesian,13,5.0,502,983.0,0.008,02,14.1521983146667,145.20735168457
Mixed island systems,1039.0,0.387,Micronesian,13,5.0,502,979.0,0.008,02,14.9902234077454,145.616973876953
Sub-tropical / Temperate rain forests / Woodlands,1932.0,0.366,Chilean Nothofagus,02,8.0,811,1565.0,0.008,11,-51.8458766937256,-73.8846092224121
Sub-tropical / Temperate rain forests / Woodlands,1940.0,0.477,Chilean Nothofagus,02,8.0,811,1574.0,0.008,11,-52.1209926605225,-74.7079200744629
Mixed island systems,740.0,0.358,Macaronesian Islands,13,2.0,240,522.0,0.008,40,39.0517024993896,-28.0074777603149
Warm deserts / semi-deserts,1035.0,0.538,Arabian Desert,07,2.0,219,838.0,0.008,19,15.3811497688293,42.6413516998291
Temperate needle-leaf forests / Woodlands,387.0,0.418,West Eurasian Taiga,03,2.0,203,220.0,0.008,03,62.8101043701172,6.85595178604126
Temperate needle-leaf forests / Woodlands,364.0,0.708,West Eurasian Taiga,03,2.0,203,206.0,0.008,03,63.8218688964844,22.7941999435425
Tundra communities,179.0,0.563,Higharctic Tundra,09,2.0,226,287.0,0.008,26,73.942081451416,86.3515853881836
Mixed island systems,1261.0,0.428,Sulawesi (Celebes),13,4.0,424,1041.0,0.008,24,1.45513850450516,125.234149932861
Tundra communities,63.0,0.793,Arctic Desert,09,2.0,225,1675.0,0.008,25,80.1817970275879,60.0914058685303
Mixed island systems,1531.0,0.454,Papuan,13,5.0,501,1383.0,0.008,01,-8.75389194488525,157.552856445312
Mixed island systems,1167.0,0.356,Philippines,13,4.0,426,911.0,0.008,26,8.25724744796753,117.30655670166
Tropical humid forests,907.0,0.439,South Chinese Rainforest,01,4.0,406,862.0,0.008,06,23.4382019042969,117.037128448486
Mixed island systems,1237.0,0.441,Sulawesi (Celebes),13,4.0,424,1035.0,0.008,24,2.71694350242615,125.40145111084
Mixed island systems,1271.0,0.356,Papuan,13,5.0,501,1919.0,0.008,01,0.684166491031647,127.402103424072
Sub-tropical / Temperate rain forests / Woodlands,1780.0,0.416,Tasmanian,02,6.0,602,1646.0,0.008,02,-40.5009803771973,144.746353149414
Tropical humid forests,1163.0,0.435,Guyanan,01,8.0,804,1876.0,0.008,04,8.68153667449951,-60.8967971801758
Mixed island systems,1282.0,0.418,Papuan,13,5.0,501,1909.0,0.008,01,0.0498610958456993,127.42945098877
Tropical humid forests,1155.0,0.377,Guyanan,01,8.0,804,1870.0,0.008,04,9.12985944747925,-60.9023551940918
Mixed island systems,967.0,0.4,Hawaiian,13,5.0,503,664.0,0.008,03,20.5556774139404,-156.620948791504
Tundra communities,161.0,0.642,Higharctic Tundra,09,2.0,226,277.0,0.008,26,74.5590362548828,84.9488792419434
Tropical humid forests,1553.0,0.349,Queensland Coastal,01,6.0,601,1317.0,0.008,01,-10.1194453239441,142.139953613281
Tundra communities,74.0,0.739,Arctic Desert,09,2.0,225,159.0,0.008,25,79.7530326843262,10.8317074775696
Mixed island systems,1559.0,0.335,Southeastern Polynesian,13,5.0,504,1080.0,0.008,04,-10.4913401603699,-138.655120849609
Mixed island systems,1227.0,0.376,Borneo,13,4.0,425,939.0,0.008,25,3.52597141265869,117.835502624512
Mixed island systems,1561.0,0.545,Papuan,13,5.0,501,1393.0,0.008,01,-10.5927801132202,150.831901550293
Mixed island systems,851.0,0.429,Ryukyu Islands,13,2.0,241,961.0,0.008,41,27.3988857269287,128.609733581543
Tundra communities,412.0,0.533,Greenland Tundra,09,1.0,116,105.0,0.008,16,61.8037567138672,-42.1793918609619
Tundra communities,198.0,0.475,Higharctic Tundra,09,2.0,226,339.0,0.008,26,73.4214897155762,126.558345794678
Tundra communities,156.0,0.398,Higharctic Tundra,09,2.0,226,274.0,0.008,26,74.8215980529785,85.822582244873
Mixed island systems,1142.0,0.4,Philippines,13,4.0,426,1011.0,0.008,26,9.65553951263428,125.94896697998
Temperate needle-leaf forests / Woodlands,654.0,0.423,Canadian Taiga,03,1.0,104,483.0,0.008,04,50.7463760375977,-55.559476852417
Sub-tropical / Temperate rain forests / Woodlands,813.0,0.418,Japanese Evergreen Forest,02,2.0,202,641.0,0.008,02,31.7130603790283,129.74129486084
Tropical humid forests,1723.0,0.351,Queensland Coastal,01,6.0,601,1421.0,0.008,01,-22.2831993103027,150.508995056152
Tropical humid forests,911.0,0.489,South Chinese Rainforest,01,4.0,406,863.0,0.008,06,22.8298301696777,113.516666412354
Mixed island systems,1454.0,0.39,Sulawesi (Celebes),13,4.0,424,1260.0,0.008,24,-5.95250105857849,124.020648956299
Tropical dry forests / Woodlands,1584.0,0.362,Northern Coastal,04,6.0,603,1328.0,0.008,03,-11.6775002479553,132.572746276855
Sub-tropical / Temperate rain forests / Woodlands,1962.0,0.419,Chilean Nothofagus,02,8.0,811,1591.0,0.008,11,-53.276538848877,-74.1451263427734
Tropical dry forests / Woodlands,892.0,0.431,Sinaloan,04,8.0,813,681.0,0.008,13,24.4902191162109,-110.341918945312
Tundra communities,213.0,0.688,Higharctic Tundra,09,2.0,226,343.0,0.008,26,72.9190902709961,122.180824279785
Tropical humid forests,1132.0,0.404,Indochinese Rainforest,01,4.0,405,906.0,0.008,05,10.3914637565613,107.134517669678
Mixed island systems,1807.0,0.368,Southeastern Polynesian,13,5.0,504,1433.0,0.008,04,-44.2803001403809,-176.174240112305
Temperate needle-leaf forests / Woodlands,709.0,0.78,Canadian Taiga,03,1.0,104,1796.0,0.008,04,43.9434814453125,-59.9094944000244
Sub-tropical / Temperate rain forests / Woodlands,1967.0,0.399,Chilean Nothofagus,02,8.0,811,1596.0,0.008,11,-53.6191291809082,-72.331615447998
Mixed island systems,1345.0,0.507,Papuan,13,5.0,501,1188.0,0.008,01,-1.50345349311829,135.211204528809
Sub-tropical / Temperate rain forests / Woodlands,1817.0,0.364,Valdivian Forest,02,8.0,810,1463.0,0.008,10,-44.4160785675049,-73.8465919494629
Tropical dry forests / Woodlands,1714.0,0.546,South African Woodland/Savanna,04,3.0,308,1147.0,0.008,08,-21.6828193664551,35.4797115325928
Tropical grasslands / Savannas,1348.0,0.383,Babacu,10,8.0,829,1101.0,0.008,29,-1.62723177671432,-44.726957321167
Mixed island systems,1124.0,0.367,Philippines,13,4.0,426,1003.0,0.008,26,10.6438426971436,124.332412719727
Mixed island systems,937.0,0.52,Bahamas-Bermudean,13,8.0,838,721.0,0.008,38,21.8914852142334,-71.9469985961914
Tundra communities,229.0,0.481,Higharctic Tundra,09,2.0,226,354.0,0.008,26,71.9631843566895,128.629051208496
Sub-tropical / Temperate rain forests / Woodlands,1991.0,0.464,Chilean Nothofagus,02,8.0,811,1617.0,0.008,11,-54.9658527374268,-70.0893936157227
Sub-tropical / Temperate rain forests / Woodlands,1993.0,0.523,Chilean Nothofagus,02,8.0,811,1616.0,0.008,11,-54.9656753540039,-70.3447532653809
Sub-tropical / Temperate rain forests / Woodlands,1895.0,0.472,Chilean Nothofagus,02,8.0,811,1537.0,0.008,11,-50.0555725097656,-74.4758110046387
Tundra communities,458.0,0.38,Greenland Tundra,09,1.0,116,1753.0,0.008,16,59.9566383361816,-43.2869300842285
Mixed island systems,1000.0,0.356,Lesser Antillean,13,8.0,841,749.0,0.008,41,18.0706119537354,-63.0706424713135
Temperate broad-leaf forests,633.0,0.369,Kamchatkan,05,2.0,207,650.0,0.008,07,51.9413890838623,178.5322265625
Mixed mountain systems,468.0,0.643,Scottish Highlands,12,2.0,231,1763.0,0.008,31,59.2305660247803,-2.54537546634674
Sub-tropical / Temperate rain forests / Woodlands,1835.0,0.417,Neozealandia,02,7.0,701,1657.0,0.008,01,-45.2352905273438,166.960800170898
Mixed mountain systems,473.0,0.378,Scottish Highlands,12,2.0,231,1768.0,0.008,31,59.1598701477051,-3.04174971580505
Sub-tropical / Temperate rain forests / Woodlands,777.0,0.347,Japanese Evergreen Forest,02,2.0,202,624.0,0.008,02,34.7282428741455,139.40714263916
Sub-tropical / Temperate rain forests / Woodlands,1838.0,0.445,Valdivian Forest,02,8.0,810,1485.0,0.008,10,-45.4004440307617,-73.920597076416
Tundra communities,639.0,0.513,Aleutian Islands,09,1.0,112,400.0,0.008,12,51.8230400085449,-176.116081237793
Sub-tropical / Temperate rain forests / Woodlands,1839.0,0.436,Valdivian Forest,02,8.0,810,1487.0,0.008,10,-45.4995040893555,-74.5025444030762
Mixed mountain systems,498.0,0.461,Scottish Highlands,12,2.0,231,492.0,0.008,31,57.4127063751221,-6.02781534194946
Mixed mountain systems,480.0,0.375,Scottish Highlands,12,2.0,231,1775.0,0.008,31,58.782657623291,-2.95258939266205
Tropical dry forests / Woodlands,1649.0,0.385,Miombo Woodland/Savanna,04,3.0,307,1141.0,0.008,07,-16.3628025054932,39.8801918029785
Sub-tropical / Temperate rain forests / Woodlands,1868.0,0.337,Chilean Nothofagus,02,8.0,811,1512.0,0.008,11,-47.9577293395996,-73.7292594909668
Tundra communities,252.0,0.515,Higharctic Tundra,09,2.0,226,360.0,0.009,26,70.7890968322754,161.571990966797
Mixed island systems,1545.0,0.378,Southeastern Polynesian,13,5.0,504,1077.0,0.009,04,-9.39040899276733,-140.089424133301
Mixed island systems,954.0,0.405,Bahamas-Bermudean,13,8.0,838,727.0,0.009,38,21.4959774017334,-72.988109588623
Sub-tropical / Temperate rain forests / Woodlands,1822.0,0.366,Valdivian Forest,02,8.0,810,1467.0,0.009,10,-44.6104354858398,-74.7774047851562
Mixed island systems,1182.0,0.506,Borneo,13,4.0,425,916.0,0.009,25,7.26874876022339,116.934700012207
Sub-tropical / Temperate rain forests / Woodlands,2000.0,0.461,Chilean Nothofagus,02,8.0,811,1627.0,0.009,11,-55.5608558654785,-67.6596298217773
Tundra communities,22.0,0.643,Arctic Desert,09,2.0,225,232.0,0.009,25,81.3040390014648,54.2648620605469
Mixed island systems,1209.0,0.377,Micronesian,13,5.0,502,1045.0,0.009,02,5.3205304145813,162.978118896484
Mixed island systems,1460.0,0.524,Java,13,4.0,422,1167.0,0.009,22,-6.60886597633362,105.193248748779
Mixed island systems,1459.0,0.426,Papuan,13,5.0,501,1265.0,0.009,01,-6.37875151634216,134.836845397949
Tropical humid forests,1453.0,0.515,Congo Rain Forest,01,3.0,302,1130.0,0.009,02,-5.90536570549011,12.8494787216187
Temperate broad-leaf forests,598.0,0.849,Atlantic,05,2.0,209,554.0,0.009,09,53.3940162658691,5.37408518791199
Mixed island systems,1489.0,0.552,Java,13,4.0,422,1176.0,0.009,22,-7.72694516181946,108.920001983643
Evergreen Sclerophyllous forests,748.0,0.557,Mediterranean Sclerophyll,06,2.0,217,577.0,0.009,17,38.4025688171387,20.6877927780151
Sub-tropical / Temperate rain forests / Woodlands,1847.0,0.403,Valdivian Forest,02,8.0,810,1493.0,0.009,10,-45.7452831268311,-74.2498970031738
Temperate needle-leaf forests / Woodlands,434.0,0.547,West Eurasian Taiga,03,2.0,203,1729.0,0.009,03,60.5559043884277,5.0757303237915
Mixed island systems,943.0,0.479,Bahamas-Bermudean,13,8.0,838,723.0,0.009,38,21.8039979934692,-71.7592277526855
Mixed island systems,1277.0,0.364,Galapagos Islands,13,8.0,844,1902.0,0.009,44,0.312766313552856,-90.4698753356934
Mixed island systems,1516.0,0.388,Lesser Sunda Islands,13,4.0,423,1298.0,0.009,23,-8.24583625793457,128.156799316406
Mixed island systems,1960.0,0.389,Southeastern Polynesian,13,5.0,504,1434.0,0.009,04,-53.1369323730469,-176.873359680176
Temperate broad-leaf forests,438.0,0.582,Boreonemoral,05,2.0,210,1733.0,0.009,10,60.4045276641846,18.4756126403809
Sub-tropical / Temperate rain forests / Woodlands,1862.0,0.415,Chilean Nothofagus,02,8.0,811,1504.0,0.009,11,-47.7393589019775,-74.9902267456055
Tropical humid forests,1292.0,0.439,Madeiran,01,8.0,806,1924.0,0.009,06,-0.302211299538612,-50.8258438110352
Evergreen Sclerophyllous forests,744.0,0.543,Mediterranean Sclerophyll,06,2.0,217,575.0,0.009,17,38.7039527893066,1.48040419816971
Mixed island systems,1102.0,0.397,Philippines,13,4.0,426,998.0,0.009,26,11.2186880111694,123.756332397461
Tundra communities,370.0,0.601,Canadian Tundra,09,1.0,114,1709.0,0.009,14,63.5174446105957,-90.8182258605957
Tundra communities,47.0,0.577,Arctic Desert,09,2.0,225,154.0,0.009,25,80.5033149719238,19.9887752532959
Mixed island systems,1398.0,0.388,Papuan,13,5.0,501,1214.0,0.009,01,-3.31194496154785,127.57884979248
Mixed island systems,1509.0,0.387,Lesser Sunda Islands,13,4.0,423,1295.0,0.009,23,-8.19861316680908,127.688697814941
Tundra communities,232.0,0.686,Higharctic Tundra,09,2.0,226,357.0,0.009,26,71.6797218322754,138.537178039551
Tundra communities,317.0,0.551,Canadian Tundra,09,1.0,114,43.0,0.009,14,68.2610282897949,-111.649360656738
Tropical humid forests,1321.0,0.404,Madeiran,01,8.0,806,1095.0,0.009,06,-0.950233042240143,-46.4948768615723
Mixed island systems,1392.0,0.48,Papuan,13,5.0,501,1365.0,0.009,01,-2.94625055789948,150.911354064941
Tundra communities,157.0,0.701,Higharctic Tundra,09,2.0,226,275.0,0.009,26,74.786865234375,86.6097526550293
Tropical dry forests / Woodlands,1637.0,0.387,Northern Coastal,04,6.0,603,1354.0,0.009,03,-15.5776400566101,136.561950683594
Temperate needle-leaf forests / Woodlands,375.0,0.513,West Eurasian Taiga,03,2.0,203,211.0,0.009,03,63.3482723236084,8.55230379104614
Mixed island systems,1660.0,0.415,East Melanesian,13,5.0,507,1411.0,0.009,07,-17.3209800720215,179.403450012207
Sub-tropical / Temperate rain forests / Woodlands,1893.0,0.374,Neozealandia,02,7.0,701,1654.0,0.009,01,-49.6670951843262,178.77815246582
Mixed island systems,1364.0,0.378,Papuan,13,5.0,501,1204.0,0.009,01,-2.08388948440552,134.368850708008
Tundra communities,69.0,0.672,Arctic Desert,09,2.0,225,257.0,0.009,25,80.0577621459961,49.514554977417
Mixed mountain systems,509.0,0.438,Scottish Highlands,12,2.0,231,496.0,0.009,31,56.9941291809082,-7.46766376495361
Mixed mountain systems,514.0,0.55,Scottish Highlands,12,2.0,231,498.0,0.009,31,56.6198291778564,-6.5682327747345
Tropical humid forests,1356.0,0.512,Madeiran,01,8.0,806,1105.0,0.009,06,-1.79194670915604,-49.0992164611816
Mixed island systems,1097.0,0.411,Andaman and Nicobar Islands,13,4.0,420,896.0,0.01,20,11.4307579994202,92.6481552124023
Temperate broad-leaf forests,684.0,0.465,Atlantic,05,2.0,209,519.0,0.01,09,47.3365173339844,-3.16205525398254
Mixed island systems,1645.0,0.402,Ascension and St Helena Islands,13,3.0,323,1128.0,0.01,23,-15.9808802604675,-5.75080728530884
Evergreen Sclerophyllous forests,1756.0,0.506,Chilean Sclerophyll,06,8.0,823,1435.0,0.01,23,-33.6212139129639,-78.872875213623
Mixed island systems,1329.0,0.487,Papuan,13,5.0,501,1958.0,0.01,01,-1.17949897050858,129.851097106934
Mixed island systems,1664.0,0.408,Southeastern Polynesian,13,5.0,504,1988.0,0.01,04,-17.5188827514648,-149.86434173584
Mixed island systems,1667.0,0.378,East Melanesian,13,5.0,507,1411.0,0.01,07,-17.6863956451416,178.802207946777
Tundra communities,212.0,0.796,Higharctic Tundra,09,2.0,226,342.0,0.01,26,72.9307556152344,128.9755859375
Mixed island systems,1393.0,0.443,Papuan,13,5.0,501,1212.0,0.01,01,-2.97851645946503,127.907051086426
Sub-tropical / Temperate rain forests / Woodlands,1872.0,0.544,Chilean Nothofagus,02,8.0,811,1515.0,0.01,11,-48.0683364868164,-75.0148010253906
Mixed island systems,1396.0,0.399,Papuan,13,5.0,501,1213.0,0.01,01,-3.2076780796051,127.714550018311
Mixed island systems,1038.0,0.456,Micronesian,13,5.0,502,978.0,0.01,02,15.1702165603638,145.747138977051
Mixed island systems,1513.0,0.446,Lesser Sunda Islands,13,4.0,423,1297.0,0.01,23,-8.22416877746582,128.941047668457
Tundra communities,131.0,0.74,Higharctic Tundra,09,2.0,226,320.0,0.01,26,76.3936500549316,113.271495819092
Sub-tropical / Temperate rain forests / Woodlands,1783.0,0.439,Tasmanian,02,6.0,602,1646.0,0.01,02,-40.6715354919434,144.950050354004
Tropical dry forests / Woodlands,896.0,0.567,Sinaloan,04,8.0,813,684.0,0.01,13,24.2508516311646,-109.849803924561
Sub-tropical / Temperate rain forests / Woodlands,1766.0,0.513,Neozealandia,02,7.0,701,1650.0,0.01,01,-36.7793254852295,175.107147216797
Sub-tropical / Temperate rain forests / Woodlands,1859.0,0.434,Valdivian Forest,02,8.0,810,1502.0,0.01,10,-47.1040782928467,-74.4052619934082
Temperate needle-leaf forests / Woodlands,383.0,0.505,West Eurasian Taiga,03,2.0,203,218.0,0.01,03,63.0506553649902,7.79912495613098
Tundra communities,40.0,0.686,Arctic Desert,09,2.0,225,152.0,0.01,25,80.6700172424316,21.196460723877
Tropical humid forests,998.0,0.64,Campechean,01,8.0,801,751.0,0.01,01,18.0356101989746,-87.9248123168945
Mixed island systems,999.0,0.555,Greater Antillean,13,8.0,840,745.0,0.01,40,18.1229667663574,-65.4305000305176
Temperate needle-leaf forests / Woodlands,570.0,0.488,East Siberian Taiga,03,2.0,204,603.0,0.01,04,54.4777011871338,137.596710205078
Mixed island systems,1438.0,0.389,Sulawesi (Celebes),13,4.0,424,1241.0,0.01,24,-5.31305575370789,123.58065032959
Mixed island systems,1495.0,0.561,Papuan,13,5.0,501,1380.0,0.01,01,-8.07153010368347,156.56884765625
Tropical humid forests,985.0,0.751,Campechean,01,8.0,801,692.0,0.01,01,18.7126483917236,-91.6778297424316
Tundra communities,579.0,0.596,Aleutian Islands,09,1.0,112,384.0,0.01,12,54.1013221740723,-165.067413330078
Temperate broad-leaf forests,715.0,0.419,Manchu-Japanese Mixed Forest,05,2.0,214,611.0,0.01,14,43.0036563873291,131.841041564941
Tropical humid forests,1699.0,0.46,Queensland Coastal,01,6.0,601,1994.0,0.01,01,-20.2393102645874,149.009643554688
Mixed island systems,1537.0,0.404,Papuan,13,5.0,501,1392.0,0.01,01,-9.05278015136719,159.112892150879
Sub-tropical / Temperate rain forests / Woodlands,1804.0,0.458,Valdivian Forest,02,8.0,810,1453.0,0.01,10,-44.14768409729,-73.9199371337891
Mixed island systems,1461.0,0.45,Papuan,13,5.0,501,1270.0,0.01,01,-6.68107438087463,134.682594299316
Mixed island systems,1464.0,0.427,Papuan,13,5.0,501,1272.0,0.01,01,-6.79591393470764,138.713897705078
Tundra communities,53.0,0.533,Arctic Desert,09,2.0,225,156.0,0.01,25,80.4093246459961,24.2570009231567
Tundra communities,315.0,0.387,Lowarctic Tundra,09,2.0,227,268.0,0.01,27,68.3192024230957,53.9342956542969
Temperate broad-leaf forests,647.0,0.472,British Islands,05,2.0,208,558.0,0.01,08,51.4050464630127,0.838735073804855
Mixed island systems,1474.0,0.569,Lesser Sunda Islands,13,4.0,423,1278.0,0.01,23,-7.30011749267578,120.921501159668
Sub-tropical / Temperate rain forests / Woodlands,1803.0,0.497,Valdivian Forest,02,8.0,810,1451.0,0.011,10,-44.027400970459,-73.6834259033203
